Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
BWCAU|Blue Whale Acquisition Corp I - Unit|S|N|N|100|N|N
BWCAW|Blue Whale Acquisition Corp I - Warrant|S|N|N|100|N|N
BWEN|Broadwind, Inc. - Common Stock|S|N|N|100|N|N
BWFG|Bankwell Financial Group, Inc. - Common Stock|G|N|N|100|N|N
BWMN|Bowman Consulting Group Ltd. - Common Stock|G|N|N|100|N|N
BWMX|Betterware de Mexico, S.A.P.I. de C.V. - Ordinary Shares|S|N|N|100|N|N
BWV|Blue Water Biotech, Inc. - Common Stock|S|N|N|100|N|N
BXRX|Baudax Bio, Inc. - Common stock|S|N|D|100|N|N
BYFC|Broadway Financial Corporation - Common Stock|S|N|N|100|N|N
BYND|Beyond Meat, Inc. - Common stock|Q|N|N|100|N|N
BYNO|byNordic Acquisition Corporation - Class A Common Stock|G|N|N|100|N|N
BYNOU|byNordic Acquisition Corporation - Units|G|N|N|100|N|N
BYNOW|byNordic Acquisition Corporation - Warrant|G|N|N|100|N|N
BYOB|SoFi Be Your Own Boss ETF|G|N|N|100|Y|N
BYRN|Byrna Technologies, Inc. - Common Stock|S|N|N|100|N|N
BYSI|BeyondSpring, Inc. - Ordinary Shares|S|N|N|100|N|N
BYTS|BYTE Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
BYTSU|BYTE Acquisition Corp. - Units|S|N|N|100|N|N
BYTSW|BYTE Acquisition Corp. - Warrants|S|N|N|100|N|N
BZ|KANZHUN LIMITED - American Depository Shares|Q|N|N|100|N|N
BZFD|BuzzFeed, Inc. - Class A Common Stock|G|N|D|100|N|N
BZFDW|BuzzFeed, Inc. - Warrant|S|N|N|100|N|N
BZUN|Baozun Inc. - American Depositary Shares|Q|N|N|100|N|N
CAAS|China Automotive Systems, Inc. - Common Stock|S|N|N|100|N|N
CABA|Cabaletta Bio, Inc. - Common Stock|Q|N|N|100|N|N
CAC|Camden National Corporation - Common Stock|Q|N|N|100|N|N
CACC|Credit Acceptance Corporation - Common Stock|Q|N|N|100|N|N
CACG|ClearBridge All Cap Growth ESG ETF|G|N|N|100|Y|N
CACO|Caravelle International Group - Ordinary Shares|S|N|H|100|N|N
CADL|Candel Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
CAFG|Pacer US Small Cap Cash Cows Growth Leaders ETF|G|N|N|100|Y|N
CAKE|The Cheesecake Factory Incorporated - Common Stock|Q|N|N|100|N|N
CALB|California BanCorp - Common Stock|Q|N|N|100|N|N
CALC|CalciMedica, Inc. - Common Stock|S|N|N|100|N|N
CALM|Cal-Maine Foods, Inc. - Common Stock|Q|N|N|100|N|N
CALT|Calliditas Therapeutics AB - American Depositary Shares|Q|N|N|100|N|N
CAMP|CalAmp Corp. - Common Stock|Q|N|N|100|N|N
CAMT|Camtek Ltd. - Ordinary Shares|G|N|N|100|N|N
CAN|Canaan Inc. - American Depositary Shares|G|N|N|100|N|N
CAPR|Capricor Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CAR|Avis Budget Group, Inc. - Common Stock|Q|N|N|100|N|N
CARA|Cara Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
CARE|Carter Bankshares, Inc. - Common Stock|Q|N|N|100|N|N
CARG|CarGurus, Inc. - Class A Common Stock|Q|N|N|100|N|N
CARM|Carisma Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
CARV|Carver Bancorp, Inc. - Common Stock|S|N|N|100|N|N
CARZ|First Trust S-Network Electric & Future Vehicle Ecosystem ETF|G|N|N|100|Y|N
CASA|Casa Systems, Inc. - Common Stock|Q|N|N|100|N|N
CASH|Pathward Financial, Inc. - Common Stock|Q|N|N|100|N|N
CASI|CASI Pharmaceuticals, Inc. - Ordinary Shares|S|N|N|100|N|N
CASS|Cass Information Systems, Inc - Common Stock|Q|N|N|100|N|N
CASY|Caseys General Stores, Inc. - Common Stock|Q|N|N|100|N|N
CATC|Cambridge Bancorp - Common Stock|S|N|N|100|N|N
CATH|Global X S&P 500 Catholic Values ETF|G|N|N|100|Y|N
CATY|Cathay General Bancorp - Common Stock|Q|N|N|100|N|N
CBAN|Colony Bankcorp, Inc. - Common Stock|G|N|N|100|N|N
CBAT|CBAK Energy Technology, Inc. - Common Stock|S|N|N|100|N|N
CBAY|CymaBay Therapeutics Inc. - Common Stock|Q|N|N|100|N|N
CBFV|CB Financial Services, Inc. - Common Stock|G|N|N|100|N|N
CBIO|Catalyst Biosciences, Inc.  - Common Stock|S|N|D|100|N|N
CBNK|Capital Bancorp, Inc. - Common Stock|Q|N|N|100|N|N
CBRG|Chain Bridge I - Class A Ordinary Shares|G|N|N|100|N|N
CBRGU|Chain Bridge I - Units|G|N|N|100|N|N
CBRGW|Chain Bridge I - Warrants|G|N|N|100|N|N
CBRL|Cracker Barrel Old Country Store, Inc. - Common Stock|Q|N|N|100|N|N
CBSH|Commerce Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
CBUS|Cibus, Inc. - Class A Common Stock|S|N|N|100|N|N
CCAI|Cascadia Acquisition Corp. - Class A Common Stock|G|N|D|100|N|N
CCAIU|Cascadia Acquisition Corp. - Unit|G|N|D|100|N|N
CCAIW|Cascadia Acquisition Corp. - Warrant|G|N|D|100|N|N
CCAP|Crescent Capital BDC, Inc. - Common Stock|G|N|N|100|N|N
CCB|Coastal Financial Corporation - Common Stock|Q|N|N|100|N|N
CCBG|Capital City Bank Group - Common Stock|Q|N|N|100|N|N
CCCC|C4 Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
CCCS|CCC Intelligent Solutions Holdings Inc. - Common Stock|Q|N|N|100|N|N
CCD|Calamos Dynamic Convertible & Income Fund - Closed End Fund|Q|N|N|100|N|N
CCEP|Coca-Cola Europacific Partners plc - Ordinary Shares|Q|N|N|100|N|N
CCLD|CareCloud, Inc. - Common Stock|G|N|N|100|N|N
CCLDO|CareCloud, Inc. - 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock|G|N|N|100|N|N
CCLDP|CareCloud, Inc. - 11% Series A Cumulative Redeemable Perpetual Preferred Stock|G|N|N|100|N|N
CCLP|CSI Compressco LP - common units|Q|N|N|100|N|N
CCNE|CNB Financial Corporation - Common Stock|Q|N|N|100|N|N
CCNEP|CNB Financial Corporation - Depositary shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed- Rate Non-Cumulative Perpetual Preferred Stock|Q|N|N|100|N|N
CCOI|Cogent Communications Holdings, Inc. - Common Stock|Q|N|N|100|N|N
CCRN|Cross Country Healthcare, Inc. - Common Stock|Q|N|N|100|N|N
CCSI|Consensus Cloud Solutions, Inc. - Common Stock|Q|N|N|100|N|N
CCSO|Carbon Collective Climate Solutions U.S. Equity ETF|G|N|N|100|Y|N
CCTS|Cactus Acquisition Corp. 1 Limited - Class A Ordinary Share|G|N|N|100|N|N
CCTSU|Cactus Acquisition Corp. 1 Limited - Unit|G|N|N|100|N|N
CCTSW|Cactus Acquisition Corp. 1 Limited - Warrant|G|N|N|100|N|N
CD|Chindata Group Holdings Limited - American Depositary Shares|Q|N|N|100|N|N
CDAQ|Compass Digital Acquisition Corp. - Class A Ordinary Shares|G|N|N|100|N|N
CDAQU|Compass Digital Acquisition Corp. - Unit|G|N|N|100|N|N
CDAQW|Compass Digital Acquisition Corp. - Warrant|G|N|N|100|N|N
CDC|VictoryShares US EQ Income Enhanced Volatility Wtd ETF|G|N|N|100|Y|N
CDIO|Cardio Diagnostics Holdings Inc. - Common stock|S|N|N|100|N|N
CDIOW|Cardio Diagnostics Holdings Inc. - Warrant|S|N|N|100|N|N
CDL|VictoryShares US Large Cap High Div Volatility Wtd ETF|G|N|N|100|Y|N
CDLX|Cardlytics, Inc. - Common Stock|G|N|N|100|N|N
CDMO|Avid Bioservices, Inc. - Common Stock|S|N|N|100|N|N
CDNA|CareDx, Inc. - Common Stock|G|N|N|100|N|N
CDNS|Cadence Design Systems, Inc. - Common Stock|Q|N|N|100|N|N
CDRO|Codere Online Luxembourg, S.A. - Ordinary Shares|S|N|N|100|N|N
CDROW|Codere Online Luxembourg, S.A. - Warrants|S|N|N|100|N|N
CDTX|Cidara Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CDW|CDW Corporation - Common Stock|Q|N|N|100|N|N
CDXC|ChromaDex Corporation - Common Stock|S|N|N|100|N|N
CDXS|Codexis, Inc. - Common Stock|Q|N|N|100|N|N
CDZI|Cadiz, Inc. - Common Stock|G|N|N|100|N|N
CDZIP|Cadiz, Inc. - Depositary Shares|G|N|N|100|N|N
CEAD|CEA Industries Inc. - Common Stock|S|N|D|100|N|N
CEADW|CEA Industries Inc. - Warrant|S|N|N|100|N|N
CECO|CECO Environmental Corp. - Common Stock|Q|N|N|100|N|N
CEFA|Global X S&P Catholic Values Developed ex-U.S. ETF|G|N|N|100|Y|N
CEG|Constellation Energy Corporation - Common Stock|Q|N|N|100|N|N
CELC|Celcuity Inc. - Common Stock|S|N|N|100|N|N
CELH|Celsius Holdings, Inc. - Common Stock|S|N|N|100|N|N
CELL|PhenomeX Inc. - Common Stock|Q|N|D|100|N|N
CELU|Celularity Inc. - Class A Common Stock|S|N|D|100|N|N
CELUW|Celularity Inc. - Warrant|S|N|N|100|N|N
CELZ|Creative Medical Technology Holdings, Inc. - Common Stock|S|N|N|100|N|N
CENN|Cenntro Electric Group Limited - Ordinary Shares|S|N|H|100|N|N
CENT|Central Garden & Pet Company - Common Stock|Q|N|N|100|N|N
CENTA|Central Garden & Pet Company - Class A Common Stock Nonvoting|Q|N|N|100|N|N
CENX|Century Aluminum Company - Common Stock|Q|N|N|100|N|N
CERE|Cerevel Therapeutics Holdings, Inc. - Common Stock|S|N|N|100|N|N
CERS|Cerus Corporation - Common Stock|G|N|N|100|N|N
CERT|Certara, Inc. - Common Stock|Q|N|N|100|N|N
CETU|Cetus Capital Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
CETUR|Cetus Capital Acquisition Corp. - Right to receive 1/6 of one share of Class A Common Stock|S|N|N|100|N|N
CETUU|Cetus Capital Acquisition Corp. - Unit|S|N|N|100|N|N
CETUW|Cetus Capital Acquisition Corp. - Warrant|S|N|N|100|N|N
CETX|Cemtrex Inc. - Common Stock|S|N|N|100|N|N
CETXP|Cemtrex Inc. - Series 1 Preferred Stock|S|N|D|100|N|N
CETY|Clean Energy Technologies, Inc. - Common Stock|S|N|N|100|N|N
CEVA|CEVA, Inc. - Common Stock|Q|N|N|100|N|N
CFA|VictoryShares US 500 Volatility Wtd ETF|G|N|N|100|Y|N
CFB|CrossFirst Bankshares, Inc. - Common Stock|Q|N|N|100|N|N
CFBK|CF Bankshares Inc. - Common Stock|S|N|N|100|N|N
CFFE|CF Acquisition Corp. VIII - Class A Common Stock|S|N|N|100|N|N
CFFEU|CF Acquisition Corp. VIII - Unit|S|N|N|100|N|N
CFFEW|CF Acquisition Corp. VIII - Warrant|S|N|N|100|N|N
CFFI|C&F Financial Corporation - Common Stock|Q|N|N|100|N|N
CFFN|Capitol Federal Financial, Inc. - Common Stock|Q|N|N|100|N|N
CFFS|CF Acquisition Corp. VII - Class A Common Stock|S|N|N|100|N|N
CFFSU|CF Acquisition Corp. VII - Unit|G|N|N|100|N|N
CFFSW|CF Acquisition Corp. VII - Warrant|S|N|N|100|N|N
CFIV|CF Acquisition Corp. IV - Class A common stock|S|N|N|100|N|N
CFIVU|CF Acquisition Corp. IV - Unit|S|N|N|100|N|N
CFIVW|CF Acquisition Corp. IV - Warrant|S|N|N|100|N|N
CFLT|Confluent, Inc. - Class A Common Stock|Q|N|N|100|N|N
CFMS|Conformis, Inc. - Common Stock|S|N|N|100|N|N
CFO|VictoryShares US 500 Enhanced Volatility Wtd ETF|G|N|N|100|Y|N
CFRX|ContraFect Corporation - Common Stock|S|N|D|100|N|N
CFSB|CFSB Bancorp, Inc. - Common Stock|S|N|N|100|N|N
CG|The Carlyle Group Inc. - Common Stock|Q|N|N|100|N|N
CGABL|The Carlyle Group Inc. - 4.625% Subordinated Notes due 2061|Q|N|N|100|N|N
CGBD|Carlyle Secured Lending, Inc. - Closed End Fund|Q|N|N|100|N|N
CGC|Canopy Growth Corporation - Common Shares|Q|N|N|100|N|N
CGEM|Cullinan Oncology, Inc. - Common Stock|Q|N|N|100|N|N
CGEN|Compugen Ltd. - Ordinary Shares|S|N|N|100|N|N
CGNT|Cognyte Software Ltd. - Ordinary Shares|Q|N|N|100|N|N
CGNX|Cognex Corporation - Common Stock|Q|N|N|100|N|N
CGO|Calamos Global Total Return Fund - Closed End Fund|Q|N|N|100|N|N
CGRN|Capstone Green Energy Corporation - Common Stock|S|N|D|100|N|N
CGTX|Cognition Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
CHB|Global X China Biotech Innovation ETF|G|N|N|100|Y|N
CHCI|Comstock Holding Companies, Inc. - Class A Common Stock|S|N|N|100|N|N
CHCO|City Holding Company - Common Stock|Q|N|N|100|N|N
CHDN|Churchill Downs, Incorporated - Common Stock|Q|N|N|100|N|N
CHEA|Chenghe Acquisition Co. - Class A Ordinary Share|G|N|N|100|N|N
CHEAU|Chenghe Acquisition Co. - Unit|G|N|N|100|N|N
CHEAW|Chenghe Acquisition Co. - Warrant|G|N|N|100|N|N
CHEF|The Chefs' Warehouse, Inc. - Common Stock|Q|N|N|100|N|N
CHEK|Check-Cap Ltd. - Ordinary Share|S|N|N|100|N|N
CHI|Calamos Convertible Opportunities and Income Fund - Closed End Fund|Q|N|N|100|N|N
CHK|Chesapeake Energy Corporation - Common Stock|Q|N|N|100|N|N
CHKEL|Chesapeake Energy Corporation - Class C Warrants|Q|N|N|100|N|N
CHKEW|Chesapeake Energy Corporation - Class A Warrants|S|N|N|100|N|N
CHKEZ|Chesapeake Energy Corporation - Class B Warrants|S|N|N|100|N|N
CHKP|Check Point Software Technologies Ltd. - Ordinary Shares|Q|N|N|100|N|N
CHMG|Chemung Financial Corp  - Common Stock|Q|N|N|100|N|N
CHNA|Loncar China BioPharma ETF|G|N|N|100|Y|N
CHNR|China Natural Resources, Inc. - Common Shares|S|N|N|100|N|N
CHRD|Chord Energy Corporation - Common Stock|Q|N|N|100|N|N
CHRS|Coherus BioSciences, Inc. - Common Stock|G|N|N|100|N|N
CHRW|C.H. Robinson Worldwide, Inc. - Common Stock|Q|N|N|100|N|N
CHSCL|CHS Inc - Class B Cumulative Redeemable Preferred Stock, Series 4|Q|N|N|100|N|N
CHSCM|CHS Inc - Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3|Q|N|N|100|N|N
CHSCN|CHS Inc - Preferred Class B Series 2 Reset Rate|Q|N|N|100|N|N
CHSCO|CHS Inc - Class B Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
CHSCP|CHS Inc - 8%  Cumulative Redeemable Preferred Stock|Q|N|N|100|N|N
CHSN|Chanson International Holding - Class A Ordinary Shares|S|N|N|100|N|N
CHTR|Charter Communications, Inc. - Class A Common Stock|Q|N|N|100|N|N
CHUY|Chuy's Holdings, Inc. - Common Stock|Q|N|N|100|N|N
CHW|Calamos Global Dynamic Income Fund - Closed End Fund|Q|N|N|100|N|N
CHX|ChampionX Corporation - Common Stock|Q|N|N|100|N|N
CHY|Calamos Convertible and High Income Fund - Closed End Fund|Q|N|N|100|N|N
CIBR|First Trust NASDAQ Cybersecurity ETF|G|N|N|100|Y|N
CID|VictoryShares International High Div Volatility Wtd ETF|G|N|N|100|Y|N
CIFR|Cipher Mining Inc. - Common Stock|Q|N|N|100|N|N
CIFRW|Cipher Mining Inc. - Warrant|Q|N|N|100|N|N
CIGI|Colliers International Group Inc.  - Subordinate Voting Shares|Q|N|N|100|N|N
CIL|VictoryShares International Volatility Wtd ETF|G|N|N|100|Y|N
CINF|Cincinnati Financial Corporation - Common Stock|Q|N|N|100|N|N
CING|Cingulate Inc. - Common Stock|S|N|D|100|N|N
CINGW|Cingulate Inc. - Warrants|S|N|D|100|N|N
CIRC|JPMorgan Sustainable Consumption ETF|G|N|N|100|Y|N
CISO|CISO Global, Inc. - Common Stock|S|N|D|100|N|N
CISS|C3is Inc. - Common Stock|S|N|N|100|N|N
CITE|Cartica Acquisition Corp - Class A Ordinary Shares|G|N|N|100|N|N
CITEU|Cartica Acquisition Corp - Unit|G|N|N|100|N|N
CITEW|Cartica Acquisition Corp - Warrant|G|N|N|100|N|N
CIVB|Civista Bancshares, Inc.  - Common Stock|S|N|N|100|N|N
CIZ|VictoryShares Developed Enhanced Volatility Wtd ETF|G|N|N|100|Y|N
CIZN|Citizens Holding Company - Common Stock|G|N|N|100|N|N
CJET|Chijet Motor Company, Inc. - Ordinary Shares|G|N|N|100|N|N
CJJD|China Jo-Jo Drugstores, Inc. - Ordinary Shares|S|N|D|100|N|N
CKPT|Checkpoint Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CLAR|Clarus Corporation - Common Stock|Q|N|N|100|N|N
CLAY|Chavant Capital Acquisition Corp. - Ordinary Shares|S|N|D|100|N|N
CLAYU|Chavant Capital Acquisition Corp. - Unit|S|N|D|100|N|N
CLAYW|Chavant Capital Acquisition Corp. - Warrants|S|N|D|100|N|N
CLBK|Columbia Financial, Inc. - Common Stock|Q|N|N|100|N|N
CLBT|Cellebrite DI Ltd. - Ordinary Shares|Q|N|N|100|N|N
CLBTW|Cellebrite DI Ltd. - Warrants|Q|N|N|100|N|N
CLDX|Celldex Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CLEU|China Liberal Education Holdings Limited - Ordinary Shares|S|N|D|100|N|N
CLFD|Clearfield, Inc. - Common Stock|G|N|N|100|N|N
CLGN|CollPlant Biotechnologies Ltd. - Ordinary Shares|G|N|N|100|N|N
CLIN|Clean Earth Acquisitions Corp. - Class A Common Stock|G|N|N|100|N|N
CLINR|Clean Earth Acquisitions Corp. - Right|G|N|N|100|N|N
CLINU|Clean Earth Acquisitions Corp. - Unit|G|N|N|100|N|N
CLINW|Clean Earth Acquisitions Corp. - Warrant|G|N|N|100|N|N
CLIR|ClearSign Technologies Corporation - Common Stock|S|N|N|100|N|N
CLLS|Cellectis S.A. - American Depositary Shares|G|N|N|100|N|N
CLMB|Climb Global Solutions, Inc. - Common Stock|G|N|N|100|N|N
CLMT|Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests|Q|N|N|100|N|N
CLNE|Clean Energy Fuels Corp. - Common Stock|Q|N|N|100|N|N
CLNN|Clene Inc. - Common Stock|S|N|N|100|N|N
CLNNW|Clene Inc. - Warrant|S|N|N|100|N|N
CLOA|BlackRock AAA CLO ETF|G|N|N|100|Y|N
CLOE|Clover Leaf Capital Corp. - Class A Common Stock|S|N|D|100|N|N
CLOER|Clover Leaf Capital Corp. - Rights|S|N|D|100|N|N
CLOEU|Clover Leaf Capital Corp. - Unit|S|N|D|100|N|N
CLOU|Global X Cloud Computing ETF|G|N|N|100|Y|N
CLOV|Clover Health Investments, Corp.  - Class A Common stock|Q|N|D|100|N|N
CLPS|CLPS Incorporation - Common Stock|G|N|N|100|N|N
CLPT|ClearPoint Neuro Inc. - Common Stock|S|N|N|100|N|N
CLRB|Cellectar Biosciences, Inc. - Common Stock|S|N|N|100|N|N
CLRC|ClimateRock - Class A Ordinary Shares|G|N|N|100|N|N
CLRCR|ClimateRock - Right|G|N|N|100|N|N
CLRCU|ClimateRock - Unit|G|N|N|100|N|N
CLRCW|ClimateRock - Warrant|G|N|N|100|N|N
CLRG|IQ Chaikin U.S. Large Cap ETF|G|N|N|100|Y|N
CLRO|ClearOne, Inc. - Common Stock|S|N|N|100|N|N
CLSA|Cabana Target Leading Sector Aggressive ETF|G|N|N|100|Y|N
CLSC|Cabana Target Leading Sector Conservative ETF|G|N|N|100|Y|N
CLSD|Clearside Biomedical, Inc. - Common Stock|G|N|N|100|N|N
CLSK|CleanSpark, Inc. - Common Stock|S|N|N|100|N|N
CLSM|Cabana Target Leading Sector Moderate ETF|G|N|N|100|Y|N
CLST|Catalyst Bancorp, Inc. - common stock|S|N|N|100|N|N
CLVR|Clever Leaves Holdings Inc. - Common Shares|S|N|D|100|N|N
CLVRW|Clever Leaves Holdings Inc. - Warrant|S|N|N|100|N|N
CLWT|Euro Tech Holdings Company Limited - Ordinary Shares|S|N|N|100|N|N
CMAX|CareMax, Inc. - Class A Common Stock|Q|N|N|100|N|N
CMAXW|CareMax, Inc. - Warrant|Q|N|N|100|N|N
CMBM|Cambium Networks Corporation - Ordinary Shares|G|N|N|100|N|N
CMCA|Capitalworks Emerging Markets Acquisition Corp - Class A Ordinary Shares|G|N|N|100|N|N
CMCAU|Capitalworks Emerging Markets Acquisition Corp - Unit|G|N|N|100|N|N
CMCAW|Capitalworks Emerging Markets Acquisition Corp - Warrant|G|N|N|100|N|N
CMCO|Columbus McKinnon Corporation - Common Stock|Q|N|N|100|N|N
CMCSA|Comcast Corporation - Class A Common Stock|Q|N|N|100|N|N
CMCT|Creative Media & Community Trust Corporation - Common Stock|G|N|N|100|N|N
CME|CME Group Inc. - Class A Common Stock|Q|N|N|100|N|N
CMLS|Cumulus Media Inc. - Class A Common Stock|G|N|N|100|N|N
CMMB|Chemomab Therapeutics Ltd.  - American Depositary Shares|S|N|N|100|N|N
CMND|Clearmind Medicine Inc. - Common Shares|S|N|D|100|N|N
CMPO|CompoSecure, Inc.  - Class A Common Stock|G|N|N|100|N|N
CMPOW|CompoSecure, Inc.  - Warrant|G|N|N|100|N|N
CMPR|Cimpress plc - Ordinary Shares|Q|N|N|100|N|N
CMPS|COMPASS Pathways Plc - American Depository Shares|Q|N|N|100|N|N
CMPX|Compass Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CMRA|Comera Life Sciences Holdings, Inc. - Common stock|S|N|D|100|N|N
CMRAW|Comera Life Sciences Holdings, Inc. - Warrant|S|N|D|100|N|N
CMRX|Chimerix, Inc. - Common Stock|G|N|N|100|N|N
CMTL|Comtech Telecommunications Corp. - Common Stock|Q|N|N|100|N|N
CNCR|Range Cancer Therapeutics ETF|G|N|N|100|Y|N
CNDT|Conduent Incorporated - Common Stock|Q|N|N|100|N|N
CNET|ZW Data Action Technologies Inc. - Common Stock|S|N|N|100|N|N
CNEY|CN Energy Group Inc. - Class A Ordinary Shares|S|N|D|100|N|N
CNFR|Conifer Holdings, Inc. - Common Stock|G|N|N|100|N|N
CNFRL|Conifer Holdings, Inc. - Senior Unsecured Notes|G|N|N|100|N|N
CNGL|Canna-Global Acquisition Corp - Class A Common Stock|G|N|D|100|N|N
CNGLU|Canna-Global Acquisition Corp - Unit|G|N|D|100|N|N
CNGLW|Canna-Global Acquisition Corp - Warrant|G|N|D|100|N|N
CNOB|ConnectOne Bancorp, Inc. - Common Stock|Q|N|N|100|N|N
CNOBP|ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)|Q|N|N|100|N|N
CNSL|Consolidated Communications Holdings, Inc. - Common Stock|Q|N|N|100|N|N
CNSP|CNS Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
CNTA|Centessa Pharmaceuticals plc - American Depositary Shares|Q|N|N|100|N|N
CNTB|Connect Biopharma Holdings Limited - American Depositary Shares|G|N|N|100|N|N
CNTG|Centogene N.V. - Common Shares|G|N|D|100|N|N
CNTX|Context Therapeutics Inc. - Common Stock|S|N|N|100|N|N
CNTY|Century Casinos, Inc. - Common Stock|S|N|N|100|N|N
CNVS|Cineverse Corp. - Class A Common Stock|S|N|D|100|N|N
CNXA|Connexa Sports Technologies Inc. - Common Stock|S|N|H|100|N|N
CNXC|Concentrix Corporation - Common Stock|Q|N|N|100|N|N
CNXN|PC Connection, Inc. - Common Stock|Q|N|N|100|N|N
COCO|The Vita Coco Company, Inc. - Common Stock|Q|N|N|100|N|N
COCP|Cocrystal Pharma, Inc. - Common Stock|S|N|N|100|N|N
CODA|Coda Octopus Group, Inc. - Common stock|S|N|N|100|N|N
CODX|Co-Diagnostics, Inc. - Common Stock|S|N|N|100|N|N
COEP|Coeptis Therapeutics Holdings, Inc. - Common Stock|S|N|N|100|N|N
COEPW|Coeptis Therapeutics Holdings, Inc. - Warrants|S|N|N|100|N|N
COFS|ChoiceOne Financial Services, Inc. - Common Stock|S|N|N|100|N|N
COGT|Cogent Biosciences, Inc. - Common Stock|Q|N|N|100|N|N
COHU|Cohu, Inc. - Common Stock|Q|N|N|100|N|N
COIN|Coinbase Global, Inc. - Class A Common Stock|Q|N|N|100|N|N
COKE|Coca-Cola Consolidated, Inc. - Common Stock|Q|N|N|100|N|N
COLB|Columbia Banking System, Inc. - Common Stock|Q|N|N|100|N|N
COLL|Collegium Pharmaceutical, Inc. - Common Stock|Q|N|N|100|N|N
COLM|Columbia Sportswear Company - Common Stock|Q|N|N|100|N|N
COMM|CommScope Holding Company, Inc. - Common Stock|Q|N|N|100|N|N
COMS|COMSovereign Holding Corp. - Common Stock|S|N|E|100|N|N
COMSP|COMSovereign Holding Corp. - 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock|S|N|H|100|N|N
COMSW|COMSovereign Holding Corp. - Warrants|S|N|E|100|N|N
COMT|iShares GSCI Commodity Dynamic Roll Strategy ETF|G|N|N|100|Y|N
CONL|GraniteShares 1.5x COIN Daily ETF|G|N|N|100|Y|N
CONN|Conn's, Inc. - Common Stock|Q|N|N|100|N|N
CONX|CONX Corp. - Class A Common Stock|S|N|N|100|N|N
CONXU|CONX Corp. - Unit|S|N|N|100|N|N
CONXW|CONX Corp. - Warrant|S|N|N|100|N|N
COOL|Corner Growth Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
COOLU|Corner Growth Acquisition Corp. - Unit|S|N|N|100|N|N
COOLW|Corner Growth Acquisition Corp. - Warrant|S|N|N|100|N|N
COOP|Mr. Cooper Group Inc. - Common Stock|S|N|N|100|N|N
COPJ|Sprott Junior Copper Miners ETF|G|N|N|100|Y|N
CORT|Corcept Therapeutics Incorporated - Common Stock|S|N|N|100|N|N
COSM|Cosmos Health Inc. - Common Stock|S|N|N|100|N|N
COST|Costco Wholesale Corporation - Common Stock|Q|N|N|100|N|N
COWG|Pacer US Large Cap Cash Cows Growth Leaders ETF|G|N|N|100|Y|N
COYA|Coya Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
CPAA|Conyers Park III Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
CPAAU|Conyers Park III Acquisition Corp. - Unit|S|N|N|100|N|N
CPAAW|Conyers Park III Acquisition Corp. - Warrants|S|N|N|100|N|N
CPHC|Canterbury Park Holding Corporation - Common Stock|G|N|N|100|N|N
CPIX|Cumberland Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
CPLP|Capital Product Partners L.P. - common units representing limited partner interests|Q|N|N|100|N|N
CPOP|Pop Culture Group Co., Ltd - Class A Ordinary Shares|S|N|D|100|N|N
CPRT|Copart, Inc. - Common Stock|Q|N|N|100|N|N
CPRX|Catalyst Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
CPSH|CPS Technologies Corp. - Common Stock|S|N|N|100|N|N
CPSI|Computer Programs and Systems, Inc. - Common Stock|Q|N|N|100|N|N
CPSS|Consumer Portfolio Services, Inc. - Common Stock|G|N|N|100|N|N
CPTN|Cepton, Inc. - Common Stock|S|N|D|100|N|N
CPTNW|Cepton, Inc. - Warrant|S|N|N|100|N|N
CPZ|Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund|Q|N|N|100|N|N
CRAI|CRA International,Inc. - Common Stock|Q|N|N|100|N|N
CRBP|Corbus Pharmaceuticals Holdings, Inc. - Common Stock|S|N|N|100|N|N
CRBU|Caribou Biosciences, Inc. - Common Stock|Q|N|N|100|N|N
